Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,serie,samename,metaNoteQ,serieB
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Wii Sports,76.0,51.0,8.1,453.0,Wii Series,1,4,1
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Classic NES Series: Super Mario Bros.,84.0,14.0,8.5,98.0,Mario Series,1,4,1
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Mario Kart Wii,82.0,73.0,8.4,1047.0,,1,4,0
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Wii Sports Resort,80.0,73.0,8.2,293.0,Wii Sports,1,4,1
6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Tetris 99,83.0,27.0,8.2,258.0,,1,4,0
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,New Super Mario Bros. U Deluxe,80.0,70.0,7.0,306.0,Mario Series,1,4,1
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Wii Play,58.0,41.0,6.5,168.0,Wii Series,1,3,1
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,New Super Mario Bros. Wii,87.0,80.0,8.3,814.0,,1,4,0
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Duck Hunt Challenge,0.0,4.0,,,,1,0,0
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Nintendogs: Lab & Friends,83.0,54.0,7.6,121.0,,1,4,0
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Mario Kart DS,91.0,64.0,8.7,709.0,Mario Kart,1,4,1
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Wii Fit,80.0,63.0,7.7,159.0,,1,4,0
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Wii Fit Plus,80.0,33.0,7.5,68.0,Wii Series,1,4,1
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Kinect Adventures!,61.0,45.0,6.3,122.0,,1,3,0
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Grand Theft Auto V,97.0,66.0,8.4,6662.0,,1,4,0
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Grand Theft Auto: San Andreas,95.0,80.0,9.1,2736.0,Grand Theft Auto,1,4,1
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,Brain Age: Train Your Brain in Minutes a Day!,77.0,58.0,7.7,59.0,Brain Age,1,4,1
