Rank,Name,developper,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,samename,Like_Percent,metaNoteQ,serieB
1,Wii Sports,Nintendo,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Wii Sports,76,51,8.1,453,1,0.96,4,1
2,Super Mario Bros.,Nintendo,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Classic NES Series: Super Mario Bros.,84,14,8.5,98,1,0.92,4,1
3,Mario Kart Wii,Nintendo,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Mario Kart Wii,82,73,8.4,1047,1,0.96,4,0
4,Wii Sports Resort,Nintendo,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Wii Sports Resort,80,73,8.2,293,1,0.97,4,1
6,Tetris,Nintendo,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Tetris 99,83,27,8.2,258,1,0.0,4,0
7,New Super Mario Bros.,Nintendo,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,New Super Mario Bros. U Deluxe,80,70,7.0,306,1,0.96,4,1
8,Wii Play,Nintendo,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Wii Play,58,41,6.5,168,1,0.9,3,1
9,New Super Mario Bros. Wii,Nintendo,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,New Super Mario Bros. Wii,87,80,8.3,814,1,0.96,4,0
10,Duck Hunt,BoomBox,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Duck Hunt Challenge,0,4,0.0,0,1,0.0,1,0
11,Nintendogs,Nintendo,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Nintendogs: Lab & Friends,83,54,7.6,121,1,0.96,4,0
12,Mario Kart DS,Nintendo,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Mario Kart DS,91,64,8.7,709,1,0.97,4,1
14,Wii Fit,Nintendo,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Wii Fit,80,63,7.7,159,1,0.0,4,0
